subj,label,cond,beta
GL18,DMN,CF,1.1728966954124167
GL18,DMN,BF,1.2064642482989645
GL19,DAN,CF,0.9127094553442656
GL19,DAN,BF,0.1862436664747233
GL19,VAN,CF,0.45112934904850405
GL19,VAN,BF,0.0031227915764358064
GL19,FPN,CF,0.19948907454526277
GL19,FPN,BF,-0.10434684536464298
GL19,DMN,CF,0.0017850590892414429
GL19,DMN,BF,-0.1798869651957729
GL20,DAN,CF,0.6672003398277685
GL20,DAN,BF,0.4570380708656037
GL20,VAN,CF,-0.31722202930926896
GL20,VAN,BF,-0.2194043408237308
GL20,FPN,CF,-0.1754983555621966
GL20,FPN,BF,-0.1541931318637284
GL20,DMN,CF,-0.5563922976560605
GL20,DMN,BF,-0.49164097490916603
GL21,DAN,CF,1.3719633102667104
GL21,DAN,BF,0.6022502480390165
GL21,VAN,CF,0.42908994285260327
GL21,VAN,BF,0.26161603350145957
GL21,FPN,CF,0.5704863428453475
GL21,FPN,BF,0.6498841342951611
GL21,DMN,CF,-0.33347671960284453
GL21,DMN,BF,-0.1705822111429708
GL22,DAN,CF,1.401613032270858
GL22,DAN,BF,1.018754623067338
GL22,VAN,CF,0.5197780063233206
GL22,VAN,BF,0.4416118754331282
GL22,FPN,CF,0.44357218186695774
GL22,FPN,BF,0.4737156076970234
GL22,DMN,CF,-0.06583871288450031
GL22,DMN,BF,-0.06291126852936496
GL24,DAN,CF,2.277411468012358
GL24,DAN,BF,1.758541393873532
GL24,VAN,CF,1.2790583633161492
GL24,VAN,BF,1.1620764224589613
GL24,FPN,CF,1.21042800351004
GL24,FPN,BF,1.1497597563714799
GL24,DMN,CF,1.1229093404983783
GL24,DMN,BF,0.9355049076451916
GL25,DAN,CF,0.5863786558398568
GL25,DAN,BF,0.4148201565613458
GL25,VAN,CF,-0.2411031320366486
GL25,VAN,BF,-0.20307242994856448
GL25,FPN,CF,-0.20041898015549992
GL25,FPN,BF,-0.1154958531309959
GL25,DMN,CF,-0.9212621945672399
GL25,DMN,BF,-0.9210918303300425
GL26,DAN,CF,1.041272984399477
GL26,DAN,BF,0.788664180705134
GL26,VAN,CF,-0.08402974951533058
GL26,VAN,BF,-0.17315947786607952
GL26,FPN,CF,0.18327088085444437
GL26,FPN,BF,0.3061010812695786
GL26,DMN,CF,-0.8132382857513991
GL26,DMN,BF,-0.7744278972791472
GL27,DAN,CF,1.9401027158399073
GL27,DAN,BF,1.590745859386874
GL27,VAN,CF,1.0349447488282906
GL27,VAN,BF,0.7635604023890142
GL27,FPN,CF,0.8034200432924438
GL27,FPN,BF,0.9425294894369252
GL27,DMN,CF,0.12638348044955502
GL27,DMN,BF,0.03301086919990149
GL29,DAN,CF,1.120222176027631
GL29,DAN,BF,0.48606954585839773
GL29,VAN,CF,0.5927582260245303
GL29,VAN,BF,0.36933670864292656
GL29,FPN,CF,0.2519294802875446
GL29,FPN,BF,0.06369655094370347
GL29,DMN,CF,-0.027476899792846295
GL29,DMN,BF,-0.0972661050827041
