subj,block,success_rate,condition,run,stage
GL25,4,0.22534722222222223,FB,1,early
GL26,4,0.1909722222222222,FB,1,early
GL27,4,0.1423611111111111,FB,1,early
GL29,4,0.3815972222222222,FB,1,early
GL03,5,0.07361111111111111,nFB,1,early
GL04,5,0.19618055555555555,nFB,1,early
GL05,5,0.049305555555555554,nFB,1,early
GL06,5,0.13159722222222223,nFB,1,early
GL07,5,0.034027777777777775,nFB,1,early
GL08,5,0.015625,nFB,1,early
GL09,5,0.017013888888888887,nFB,1,early
GL10,5,0.00625,nFB,1,early
GL11,5,0.21805555555555556,nFB,1,early
GL12,5,0.016666666666666666,nFB,1,early
GL14,5,0.121875,nFB,1,early
GL15,5,0.06701388888888889,nFB,1,early
GL16,5,0.234375,nFB,1,early
GL17,5,0.06319444444444444,nFB,1,early
GL18,5,0.06944444444444445,nFB,1,early
GL19,5,0.006597222222222222,nFB,1,early
GL20,5,0.11215277777777778,nFB,1,early
GL21,5,0.017708333333333333,nFB,1,early
GL22,5,0.004166666666666667,nFB,1,early
GL24,5,0.01875,nFB,1,early
GL25,5,0.15034722222222222,nFB,1,early
GL26,5,0.04236111111111111,nFB,1,early
GL27,5,0.03715277777777778,nFB,1,early
GL29,5,0.39131944444444444,nFB,1,early
GL03,6,0.24791666666666667,FB,1,early
GL04,6,0.4857638888888889,FB,1,early
GL05,6,0.4173611111111111,FB,1,early
GL06,6,0.12465277777777778,FB,1,early
GL07,6,0.23159722222222223,FB,1,early
GL08,6,0.32013888888888886,FB,1,early
GL09,6,0.184375,FB,1,early
GL10,6,0.165625,FB,1,early
GL11,6,0.3177083333333333,FB,1,early
GL12,6,0.018055555555555554,FB,1,early
GL14,6,0.5225694444444444,FB,1,early
GL15,6,0.1986111111111111,FB,1,early
GL16,6,0.27118055555555554,FB,1,early
GL17,6,0.12083333333333333,FB,1,early
GL18,6,0.30520833333333336,FB,1,early
GL19,6,0.27534722222222224,FB,1,early
GL20,6,0.1625,FB,1,early
GL21,6,0.15590277777777778,FB,1,early
GL22,6,0.19375,FB,1,early
GL24,6,0.2420138888888889,FB,1,early
GL25,6,0.15069444444444444,FB,1,early
GL26,6,0.13923611111111112,FB,1,early
GL27,6,0.11006944444444444,FB,1,early
GL29,6,0.33368055555555554,FB,1,early
GL03,7,0.0763888888888889,nFB,1,early
GL04,7,0.21041666666666667,nFB,1,early
GL05,7,0.03819444444444445,nFB,1,early
GL06,7,0.014583333333333334,nFB,1,early
GL07,7,0.009375,nFB,1,early
GL08,7,0.05694444444444444,nFB,1,early
