subj,label,cond,beta
GL21,Early,BF,-0.10172222371107256
GL21,V3AB,CF,-0.05727812918497874
GL21,V3AB,BF,-1.063401142885902
GL21,V7,CF,0.29811819868550693
GL21,V7,BF,-0.8687218052065838
GL22,Early,CF,0.029318973520414127
GL22,Early,BF,0.25918661861364123
GL22,V3AB,CF,0.09873250014334428
GL22,V3AB,BF,-0.3158422139551073
GL22,V7,CF,1.6672888528531356
GL22,V7,BF,0.698857284787495
GL24,Early,CF,1.8164187084976908
GL24,Early,BF,1.6792727828246883
GL24,V3AB,CF,1.6474203945179116
GL24,V3AB,BF,1.3299471392658435
GL24,V7,CF,2.2663602088165904
GL24,V7,BF,1.591597160627686
GL25,Early,CF,-0.6611636264106592
GL25,Early,BF,-0.6041276718909819
GL25,V3AB,CF,0.14677512286239477
GL25,V3AB,BF,-0.43590630671280955
GL25,V7,CF,1.3940276861870529
GL25,V7,BF,0.7539342651779265
GL26,Early,CF,-0.6541697989613899
GL26,Early,BF,-0.37800752730749215
GL26,V3AB,CF,-0.9972543247624228
GL26,V3AB,BF,-0.8382859969120929
GL26,V7,CF,0.10900252176777948
GL26,V7,BF,-0.3284796364155214
GL27,Early,CF,0.8530848462324544
GL27,Early,BF,0.9039947020033965
GL27,V3AB,CF,0.08839701975847343
GL27,V3AB,BF,0.0033878748488880544
GL27,V7,CF,1.610031769578941
GL27,V7,BF,0.7014747884561489
GL29,Early,CF,0.37279245409472783
GL29,Early,BF,0.47248971863324307
GL29,V3AB,CF,0.5164027791148441
GL29,V3AB,BF,0.008750559170011347
GL29,V7,CF,1.0768993445631818
GL29,V7,BF,0.5386083289985302
