subj,label,cond,beta
GL04,5,BF,0.6041306093601244
GL04,6,CF,1.7428236463081057
GL04,6,BF,1.160103190690279
GL04,7,CF,1.5079671216298298
GL04,7,BF,1.3520918246134217
GL04,8,CF,1.2632483155302265
GL04,8,BF,1.0782893303554053
GL04,9,CF,1.8639109132763667
GL04,9,BF,1.2488144177656908
GL04,10,CF,1.8659832110120491
GL04,10,BF,1.4334644412960518
GL04,11,CF,1.7735647667331744
GL04,11,BF,1.5057024875570675
GL04,12,CF,1.6643462934257354
GL04,12,BF,1.470188918372493
GL04,13,CF,1.1871602417218803
GL04,13,BF,0.8324242649913425
GL04,14,CF,1.1474862414101759
GL04,14,BF,0.9407047633035108
GL04,15,CF,1.3255698008664027
GL04,15,BF,1.2949069717328003
GL04,16,CF,1.3828281638518776
GL04,16,BF,1.319765889954647
GL04,17,CF,1.4625430762982712
GL04,17,BF,1.5396518684181961
GL04,18,CF,1.8156634003077585
GL04,18,BF,2.1202683387727466
GL04,19,CF,2.4796656301346407
GL04,19,BF,3.1546692381531125
GL04,20,CF,2.019648290639698
GL04,20,BF,2.6612461366227285
GL04,21,CF,2.2235271079131427
GL04,21,BF,3.043378355013382
GL04,22,CF,2.1871891979735794
GL04,22,BF,2.9796122649010828
GL04,23,CF,1.9904661908294214
GL04,23,BF,2.6012177434947454
GL04,24,CF,2.7076393617871055
GL04,24,BF,3.4292416691240164
GL04,25,CF,1.334466843545108
GL04,25,BF,1.8640234583582456
GL04,26,CF,0.6318377680462014
GL04,26,BF,0.8357855696945967
GL04,27,CF,0.7549550732790538
GL04,27,BF,0.9514075328394902
GL04,28,CF,0.9472863441010063
GL04,28,BF,1.2061714003532555
GL04,29,CF,1.2612003108672418
GL04,29,BF,1.4741904043389555
GL05,2,CF,1.5944943172591073
GL05,2,BF,0.5690222148384366
GL05,3,CF,2.0383063554763794
GL05,3,BF,0.6748601889623136
GL05,4,CF,2.365717520316442
GL05,4,BF,0.8143147005854795
GL05,5,CF,1.2380532656397139
GL05,5,BF,0.4036121115354555
GL05,6,CF,1.727824282980411
GL05,6,BF,1.1121185028351077
GL05,7,CF,1.68873539243836
GL05,7,BF,1.10087624030659
GL05,8,CF,1.588373851074892
GL05,8,BF,1.2482232765239827
GL05,9,CF,1.7327052786564217
GL05,9,BF,1.555936765212279
GL05,10,CF,1.620592073232613
GL05,10,BF,1.4483779248188842
GL05,11,CF,1.712778132134661
GL05,11,BF,1.5642170744480064
GL05,12,CF,1.7999508026713396
GL05,12,BF,1.754621889612035
GL05,13,CF,1.7555730211557727
GL05,13,BF,1.4309070518258775
GL05,14,CF,1.338240580956141
GL05,14,BF,1.1944190794229508
GL05,15,CF,2.241125297606291
GL05,15,BF,2.1287186542647567
GL05,16,CF,2.13425289824505
GL05,16,BF,2.0813103662241224
GL05,17,CF,2.3590900779309854
GL05,17,BF,2.443279044930212
GL05,18,CF,2.771739474993801
GL05,18,BF,3.046259829985727
GL05,19,CF,2.7040692484902538
GL05,19,BF,3.206114576576145
GL05,20,CF,2.3640104941843787
GL05,20,BF,2.8982208431630894
GL05,21,CF,1.996539844852737
GL05,21,BF,2.720318505142489
GL05,22,CF,1.3933480641150728
GL05,22,BF,2.2097545964973615
GL05,23,CF,1.0354973573802095
GL05,23,BF,1.614953421404811
GL05,24,CF,1.7168183903458754
GL05,24,BF,2.028116746414162
GL05,25,CF,2.2577870387483285
GL05,25,BF,2.352666618137056
GL05,26,CF,2.160724068570329
GL05,26,BF,2.1870606790008504
GL05,27,CF,1.9668970819447797
GL05,27,BF,1.8507141973864336
GL05,28,CF,1.8967232217061885
GL05,28,BF,1.6992233162717323
GL05,29,CF,1.290488635162802
GL05,29,BF,1.1021242597976855
GL06,2,CF,1.2019973993301392
GL06,2,BF,0.5155848903315408
GL06,3,CF,1.3660196826375763
GL06,3,BF,0.6187097165926263
GL06,4,CF,1.8707769496573343
GL06,4,BF,0.611606154914221
GL06,5,CF,2.9782388397625517
GL06,5,BF,1.2496178244905813
GL06,6,CF,2.3965182527290465
GL06,6,BF,0.8074907208575266
GL06,7,CF,1.6101764348301901
GL06,7,BF,0.5528911263289222
GL06,8,CF,1.226418609385762
GL06,8,BF,0.45784604185090594
GL06,9,CF,0.9057607021218596
GL06,9,BF,0.31526134222692165
GL06,10,CF,0.5439253422558646
GL06,10,BF,0.18355000244284217
GL06,11,CF,0.8959080325581398
GL06,11,BF,0.6233117924577694
